leagueName,teamName,venueName,lat,long
National Basketball Association,Atlanta Hawks,State Farm Arena,33.757222222222,-84.396388888889
National Basketball Association,Boston Celtics,TD Garden,42.366302777778,-71.062227777778
National Basketball Association,Boston Celtics,Boston Garden,42.365697222222,-71.061716666667
National Basketball Association,Boston Celtics,XL Center,41.7683,-72.6769
National Basketball Association,Brooklyn Nets,Barclays Center,40.68265,-73.974689
National Basketball Association,Charlotte Hornets,Spectrum Center,35.225,-80.839166666667
National Basketball Association,Chicago Bulls,United Center,41.880555555556,-87.674166666667
National Basketball Association,Cleveland Cavaliers,Rocket Mortgage FieldHouse,41.496388888889,-81.688055555556
National Basketball Association,Dallas Mavericks,American Airlines Center,32.790555555556,-96.810277777778
National Basketball Association,Denver Nuggets,Pepsi Center,39.748611111111,-105.0075
National Basketball Association,Detroit Pistons,Little Caesars Arena,42.3412,-83.0549
National Basketball Association,Golden State Warriors,Chase Center,37.767833333333,-122.38738888889
National Basketball Association,Houston Rockets,Toyota Center,29.750833333333,-95.362222222222
National Basketball Association,Indiana Pacers,Bankers Life Fieldhouse,39.763888888889,-86.155555555556
National Basketball Association,Indianapolis Olympians,Hinkle Fieldhouse,39.8436,-86.1672
National Basketball Association,Los Angeles Clippers,Staples Center,34.043055555556,-118.26722222222
National Basketball Association,Los Angeles Lakers,Staples Center,34.043055555556,-118.26722222222
National Basketball Association,Memphis Grizzlies,FedExForum,35.138333333333,-90.050555555556
National Basketball Association,Miami Heat,American Airlines Arena,25.781388888889,-80.188055555556
National Basketball Association,Milwaukee Bucks,Fiserv Forum,43.0451,-87.9182
National Basketball Association,Minnesota Timberwolves,Target Center,44.979444444444,-93.276111111111
National Basketball Association,New Orleans Pelicans,Smoothie King Center,29.948888888889,-90.081944444444
National Basketball Association,New York Knicks,Madison Square Garden,40.750555555556,-73.993611111111
National Basketball Association,Oklahoma City Thunder,Chesapeake Energy Arena,35.463333,-97.515
National Basketball Association,Orlando Magic,Amway Center,28.539167,-81.383611
National Basketball Association,Philadelphia 76ers,Wells Fargo Center,39.901111111111,-75.171944444444
National Basketball Association,Phoenix Suns,Talking Stick Resort Arena,33.445833333333,-112.07138888889
National Basketball Association,Portland Trail Blazers,Moda Center,45.531666666667,-122.66666666667
National Basketball Association,Sacramento Kings,Golden 1 Center,38.58,-121.5
National Basketball Association,San Antonio Spurs,AT&T Center,29.426944444444,-98.4375
National Basketball Association,Toronto Raptors,Scotiabank Arena,43.643333333333,-79.379166666667
National Basketball Association,Utah Jazz,Vivint Smart Home Arena,40.768333,-111.901111
National Basketball Association,Washington Wizards,Capital One Arena,38.898055555556,-77.020833333333
National Football League,Arizona Cardinals,State Farm Stadium,33.5275,-112.2625
National Football League,Arizona Cardinals,State Farm Stadium,33.5275,-112.2625
National Football League,Atlanta Falcons,Mercedes-Benz Stadium,33.755277777778,-84.400833333333
National Football League,Atlanta Falcons,Mercedes-Benz Stadium,33.755277777778,-84.400833333333
National Football League,Baltimore Ravens,M&T Bank Stadium,39.278055555556,-76.622777777778
National Football League,Buffalo Bills,New Era Field,42.773611111111,-78.786944444444
National Football League,Carolina Panthers,Bank of America Stadium,35.225833333333,-80.852777777778
National Football League,Carolina Panthers,Bank of America Stadium,35.225833333333,-80.852777777778
National Football League,Chicago Bears,Soldier Field,41.8625,-87.616666666667
National Football League,Cincinnati Bengals,Paul Brown Stadium,39.095444444444,-84.516038888889
National Football League,Cleveland Browns,FirstEnergy Stadium,41.506111111111,-81.699444444444
National Football League,Dallas Cowboys,AT&T Stadium,32.747777777778,-97.092777777778
National Football League,Dallas Cowboys,AT&T Stadium,32.747777777778,-97.092777777778
National Football League,Denver Broncos,Sports Authority Field at Mile High,39.743888888889,-105.02
National Football League,Detroit Lions,Ford Field,42.34,-83.045555555556
National Football League,Detroit Lions,Ford Field,42.34,-83.045555555556
National Football League,Green Bay Packers,Lambeau Field,44.501388888889,-88.062222222222
National Football League,Green Bay Packers,Lambeau Field,44.501388888889,-88.062222222222
National Football League,Houston Texans,NRG Stadium,29.684722222222,-95.410833333333
National Football League,Indianapolis Colts,Lucas Oil Stadium,39.760056,-86.163806
National Football League,Jacksonville Jaguars,TIAA Bank Field,30.323888888889,-81.6375
National Football League,Kansas City Chiefs,Arrowhead Stadium,39.048888888889,-94.483888888889
National Football League,Las Vegas Raiders,Allegiant Stadium,36.090777777778,-115.183
National Football League,Los Angeles Chargers,SDCCU Stadium,32.783055555556,-117.11944444444
National Football League,Los Angeles Rams,SoFi Stadium,33.9504,-118.338
National Football League,Los Angeles Rams,SoFi Stadium,33.9504,-118.338
National Football League,Miami Dolphins,Hard Rock Stadium,25.958055555556,-80.238888888889
National Football League,Minnesota Vikings,U.S. Bank Stadium,44.973889,-93.258056
National Football League,Minnesota Vikings,U.S. Bank Stadium,44.973889,-93.258056
National Football League,New England Patriots,Gillette Stadium,42.090944444444,-71.264344444444
National Football League,New Orleans Saints,Mercedes-Benz Superdome,29.950833333333,-90.081111111111
National Football League,New Orleans Saints,Mercedes-Benz Superdome,29.950833333333,-90.081111111111
National Football League,New York Giants,MetLife Stadium,40.8136,-74.0744
National Football League,New York Giants,MetLife Stadium,40.8136,-74.0744
National Football League,New York Jets,MetLife Stadium,40.8136,-74.0744
National Football League,Philadelphia Eagles,Lincoln Financial Field,39.900833333333,-75.1675
National Football League,Philadelphia Eagles,Lincoln Financial Field,39.900833333333,-75.1675
National Football League,Pittsburgh Steelers,Heinz Field,40.446666666667,-80.015833333333
National Football League,San Francisco 49ers,Levi's Stadium,37.4034,-121.97
National Football League,San Francisco 49ers,Levi's Stadium,37.4034,-121.97
National Football League,Seattle Seahawks,CenturyLink Field,47.595277777778,-122.33166666667
National Football League,Seattle Seahawks,CenturyLink Field,47.595277777778,-122.33166666667
National Football League,Tampa Bay Buccaneers,Raymond James Stadium,27.975833333333,-82.503333333333
National Football League,Tennessee Titans,Nissan Stadium,36.166388888889,-86.771388888889
National Football League,Washington Redskins,FedExField,38.907777777778,-76.864444444444
National Football League,Washington Redskins,FedExField,38.907777777778,-76.864444444444
National Hockey League,Anaheim Ducks,Honda Center,33.807777777778,-117.87666666667
National Hockey League,Arizona Coyotes,Gila River Arena,33.531944444444,-112.26111111111
National Hockey League,Boston Bruins,TD Garden,42.366302777778,-71.062227777778
National Hockey League,Buffalo Sabres,KeyBank Center,42.875,-78.876388888889
National Hockey League,Calgary Flames,Scotiabank Saddledome,51.0375,-114.05194444444
National Hockey League,California Golden Seals,Oakland Arena,37.750277777778,-122.20305555556
National Hockey League,Carolina Hurricanes,PNC Arena,35.803333333333,-78.721944444444
National Hockey League,Chicago Blackhawks,United Center,41.880555555556,-87.674166666667
National Hockey League,Colorado Avalanche,Pepsi Center,39.748611111111,-105.0075
National Hockey League,Columbus Blue Jackets,Nationwide Arena,39.969283333333,-83.006111111111
National Hockey League,Dallas Stars,American Airlines Center,32.790555555556,-96.810277777778
National Hockey League,Detroit Red Wings,Little Caesars Arena,42.3412,-83.0549
National Hockey League,Edmonton Oilers,Rogers Place,53.546944444444,-113.49777777778
National Hockey League,Florida Panthers,BB&T Center,26.158333333333,-80.325555555556
National Hockey League,Hamilton Tigers,Barton Street Arena,43.2569,-79.8464
National Hockey League,Los Angeles Kings,Staples Center,34.043055555556,-118.26722222222
National Hockey League,Minnesota North Stars,Met Center,44.858333333333,-93.24
National Hockey League,Minnesota Wild,Xcel Energy Center,44.944722222222,-93.101111111111
National Hockey League,Montreal Canadiens,Centre Bell,45.496111111111,-73.569444444444
National Hockey League,Nashville Predators,Bridgestone Arena,36.159166666667,-86.778611111111
National Hockey League,New Jersey Devils,Prudential Center,40.733611,-74.171111
National Hockey League,New York Islanders,Barclays Center,40.68265,-73.974689
National Hockey League,New York Rangers,Madison Square Garden,40.750555555556,-73.993611111111
National Hockey League,Ottawa Senators,Canadian Tire Centre,45.296944444444,-75.927222222222
National Hockey League,Philadelphia Flyers,Wells Fargo Center,39.901111111111,-75.171944444444
National Hockey League,Pittsburgh Penguins,PPG Paints Arena,40.4394,-79.9892
National Hockey League,Quebec Bulldogs,Quebec Skating Rink,46.80805556,-71.2125
National Hockey League,Quebec Nordiques,Colisée Pepsi,46.830833333333,-71.246388888889
National Hockey League,San Jose Sharks,SAP Center,37.332777777778,-121.90111111111
National Hockey League,Seattle NHL team,KeyArena,47.622222222222,-122.35416666667
National Hockey League,St. Louis Blues,Enterprise Center,38.626667,-90.2025
National Hockey League,Tampa Bay Lightning,Amalie Arena,27.942777777778,-82.451944444444
National Hockey League,Toronto Maple Leafs,Scotiabank Arena,43.643333333333,-79.379166666667
National Hockey League,Vancouver Canucks,Rogers Arena,49.277777777778,-123.10888888889
National Hockey League,Vegas Golden Knights,T-Mobile Arena,36.102916666667,-115.17836111111
National Hockey League,Washington Capitals,Capital One Arena,38.898055555556,-77.020833333333
National Hockey League,Winnipeg Jets,Winnipeg Arena,49.886944444444,-97.197777777778
National Hockey League,Winnipeg Jets,Bell MTS Place,49.892777777778,-97.143611111111
